Date-time CET-CEST (DD/MM/YYYY HH:mm);DMA A (L/s);DMA B (L/s);DMA C (L/s);DMA D (L/s);DMA E (L/s);DMA F (L/s);DMA G (L/s);DMA H (L/s);DMA I (L/s);DMA J (L/s)
01/01/2021 00:00;#N/A;#N/A;3.70;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 01:00;#N/A;#N/A;3.56;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 02:00;#N/A;#N/A;3.27;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 03:00;#N/A;#N/A;2.84;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 04:00;#N/A;#N/A;2.74;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 05:00;#N/A;#N/A;2.72;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 06:00;#N/A;#N/A;2.87;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 07:00;#N/A;#N/A;3.08;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 08:00;#N/A;#N/A;3.87;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 09:00;#N/A;#N/A;4.82;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 10:00;#N/A;#N/A;5.87;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 11:00;#N/A;#N/A;5.96;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 12:00;#N/A;#N/A;5.66;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 13:00;#N/A;#N/A;5.25;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 14:00;#N/A;#N/A;4.93;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 15:00;#N/A;#N/A;4.40;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2021 16:00;8.75;10.15;4.37;31.43;82.73;#N/A;20.86;19.10;#N/A;22.21
01/01/2021 17:00;5.45;9.17;4.58;37.60;81.45;#N/A;22.30;18.25;#N/A;21.58
01/01/2021 18:00;5.86;9.18;#N/A;39.19;80.66;#N/A;23.88;18.54;#N/A;22.48
01/01/2021 19:00;5.84;9.70;4.57;40.90;83.85;#N/A;23.75;19.66;#N/A;23.43
01/01/2021 20:00;5.83;9.85;4.81;38.76;85.88;#N/A;25.03;19.49;#N/A;24.16
01/01/2021 21:00;5.81;9.30;4.46;34.63;79.68;#N/A;22.55;17.96;#N/A;22.23
01/01/2021 22:00;4.81;8.93;3.76;32.56;73.17;#N/A;19.37;15.38;#N/A;19.98
01/01/2021 23:00;4.41;8.56;3.47;31.74;68.37;#N/A;18.83;14.72;#N/A;19.53
02/01/2021 00:00;3.36;8.16;3.18;30.05;63.15;#N/A;16.83;13.68;#N/A;18.86
02/01/2021 01:00;2.38;7.87;2.92;27.24;58.53;#N/A;15.43;11.69;#N/A;20.34
02/01/2021 02:00;3.24;7.76;2.79;27.08;54.75;#N/A;13.01;11.15;#N/A;18.75
02/01/2021 03:00;3.14;7.66;2.60;26.69;54.35;#N/A;12.55;10.83;#N/A;18.08
02/01/2021 04:00;2.79;7.74;2.62;26.08;54.24;#N/A;11.95;10.62;#N/A;18.75
02/01/2021 05:00;3.80;7.86;2.75;23.65;55.12;#N/A;12.70;11.21;#N/A;19.48
02/01/2021 06:00;4.58;8.14;2.90;25.27;59.16;#N/A;13.73;12.71;#N/A;20.89
02/01/2021 07:00;5.84;8.89;3.57;31.16;67.11;#N/A;17.44;14.73;#N/A;21.84
02/01/2021 08:00;6.69;9.99;4.32;40.86;81.16;#N/A;21.37;19.65;#N/A;23.77
02/01/2021 09:00;7.88;11.08;5.15;46.80;95.97;#N/A;29.32;24.24;#N/A;25.62
02/01/2021 10:00;8.08;11.15;6.12;49.23;105.06;#N/A;32.02;25.02;#N/A;26.91
02/01/2021 11:00;7.61;10.99;5.77;#N/A;103.48;#N/A;31.24;24.58;#N/A;27.68
02/01/2021 12:00;7.05;10.80;5.85;44.58;101.15;#N/A;31.27;25.16;#N/A;26.56
02/01/2021 13:00;6.74;10.53;5.25;44.17;97.19;#N/A;28.97;23.40;#N/A;25.90
02/01/2021 14:00;6.40;10.11;4.78;42.46;89.36;#N/A;25.32;20.64;#N/A;23.33
02/01/2021 15:00;5.81;9.67;4.52;40.15;83.81;#N/A;23.90;19.65;#N/A;23.89
02/01/2021 16:00;5.08;9.83;4.49;41.29;83.01;#N/A;22.96;18.95;#N/A;23.65
02/01/2021 17:00;4.97;9.35;4.58;36.73;82.11;#N/A;24.85;19.38;#N/A;#N/A
02/01/2021 18:00;4.51;9.37;4.43;38.79;83.91;#N/A;23.11;19.63;#N/A;23.01
02/01/2021 19:00;5.88;9.97;4.63;37.09;86.15;#N/A;24.77;19.98;#N/A;23.13
02/01/2021 20:00;6.19;9.88;4.77;38.54;86.62;#N/A;25.09;20.44;#N/A;23.13
02/01/2021 21:00;5.54;9.11;4.23;33.10;80.58;#N/A;22.42;18.80;#N/A;22.72
02/01/2021 22:00;5.01;9.12;3.84;35.54;72.94;#N/A;20.26;15.50;#N/A;22.18
02/01/2021 23:00;4.51;8.73;3.90;34.18;69.51;#N/A;18.68;15.02;#N/A;21.31
03/01/2021 00:00;4.15;8.16;3.31;31.63;63.92;#N/A;16.61;12.86;#N/A;20.60
03/01/2021 01:00;3.75;7.93;2.91;28.67;57.71;#N/A;13.83;12.58;#N/A;19.17
03/01/2021 02:00;3.69;7.75;2.80;23.01;55.47;#N/A;12.80;11.24;#N/A;19.79
03/01/2021 03:00;3.57;7.64;2.68;23.46;53.83;#N/A;12.34;10.95;#N/A;18.70
03/01/2021 04:00;3.59;7.60;2.58;22.14;53.97;#N/A;12.17;10.71;#N/A;19.12
03/01/2021 05:00;3.71;7.79;2.68;28.66;55.76;#N/A;12.26;11.07;#N/A;19.28
03/01/2021 06:00;4.26;7.77;2.94;30.05;58.07;#N/A;13.66;11.50;#N/A;20.56
03/01/2021 07:00;5.90;8.59;3.60;35.91;66.45;#N/A;16.48;13.73;#N/A;21.48
03/01/2021 08:00;5.49;10.03;4.59;41.01;82.35;#N/A;22.66;18.36;#N/A;23.97
03/01/2021 09:00;7.56;11.54;5.75;51.43;102.30;#N/A;30.36;23.86;#N/A;27.06
03/01/2021 10:00;8.14;11.78;6.33;47.45;109.06;#N/A;35.00;26.62;#N/A;26.91
03/01/2021 11:00;7.79;11.45;6.36;48.42;106.17;#N/A;33.13;25.22;#N/A;26.92
03/01/2021 12:00;6.88;11.76;6.08;48.71;103.93;#N/A;30.96;24.73;#N/A;27.24
03/01/2021 13:00;7.43;11.14;5.38;49.68;98.90;#N/A;28.52;23.56;#N/A;25.91
03/01/2021 14:00;7.09;9.94;5.37;44.38;91.47;#N/A;26.19;21.30;#N/A;24.63
03/01/2021 15:00;6.51;9.84;4.73;40.70;85.02;#N/A;24.76;20.11;#N/A;22.57
03/01/2021 16:00;5.91;9.52;4.61;38.91;82.99;#N/A;23.45;19.58;#N/A;23.07
03/01/2021 17:00;6.68;9.77;5.04;38.77;84.27;#N/A;23.77;19.34;#N/A;23.83
03/01/2021 18:00;6.80;9.97;4.98;39.23;86.69;#N/A;24.12;20.15;#N/A;23.04
03/01/2021 19:00;7.27;10.15;4.70;36.60;88.71;#N/A;25.07;19.30;#N/A;23.75
03/01/2021 20:00;7.33;10.16;4.91;42.10;89.56;#N/A;26.05;19.79;#N/A;24.42
03/01/2021 21:00;6.49;9.31;4.53;38.92;81.30;#N/A;23.26;17.47;#N/A;22.05
03/01/2021 22:00;6.04;9.29;3.78;35.04;74.51;#N/A;20.04;17.06;#N/A;22.25
03/01/2021 23:00;4.72;8.52;3.45;32.99;69.74;#N/A;18.97;14.62;#N/A;20.72
04/01/2021 00:00;3.96;7.99;3.39;27.12;62.71;#N/A;15.98;13.58;#N/A;20.11
04/01/2021 01:00;2.92;7.77;3.02;23.84;57.62;#N/A;13.32;11.31;#N/A;19.58
04/01/2021 02:00;3.18;7.70;2.82;24.42;55.04;#N/A;11.92;10.31;#N/A;18.36
04/01/2021 03:00;3.63;7.67;2.73;25.82;53.98;#N/A;11.94;10.67;#N/A;18.69
04/01/2021 04:00;3.17;7.66;2.79;28.54;54.54;#N/A;11.99;10.66;#N/A;19.73
04/01/2021 05:00;4.04;7.89;2.96;29.87;56.64;#N/A;12.89;11.43;#N/A;20.05
04/01/2021 06:00;5.30;8.77;3.60;34.36;65.96;#N/A;16.11;14.06;#N/A;22.60
04/01/2021 07:00;7.46;9.57;4.61;38.19;83.20;#N/A;22.01;19.87;#N/A;25.17
04/01/2021 08:00;10.20;10.21;4.92;42.35;96.01;#N/A;28.00;23.78;#N/A;27.40
04/01/2021 09:00;10.44;10.12;4.92;42.86;97.67;#N/A;29.30;25.32;#N/A;28.56
04/01/2021 10:00;11.23;10.35;5.17;39.65;94.78;#N/A;26.47;25.02;#N/A;28.01
04/01/2021 11:00;10.03;9.87;4.63;37.11;92.02;#N/A;24.69;24.13;#N/A;28.05
04/01/2021 12:00;8.53;9.85;4.87;42.39;89.48;#N/A;24.16;23.35;#N/A;29.13
04/01/2021 13:00;8.86;9.94;4.60;43.75;91.21;#N/A;25.88;24.02;#N/A;24.62
04/01/2021 14:00;8.46;9.58;4.86;38.77;87.67;#N/A;24.91;21.42;#N/A;27.73
04/01/2021 15:00;8.13;9.49;4.19;36.10;83.48;#N/A;22.68;19.32;#N/A;25.29
04/01/2021 16:00;6.14;9.23;4.20;34.81;80.79;#N/A;21.04;18.73;#N/A;26.17
04/01/2021 17:00;6.68;9.42;4.42;35.02;80.64;#N/A;22.16;19.87;#N/A;25.49
04/01/2021 18:00;5.80;9.39;4.61;38.79;83.89;#N/A;22.70;20.71;#N/A;24.81
04/01/2021 19:00;7.50;10.00;4.83;43.34;89.09;#N/A;25.19;20.93;#N/A;26.87
04/01/2021 20:00;7.43;9.93;4.70;43.88;90.59;#N/A;26.26;20.45;#N/A;24.86
04/01/2021 21:00;6.63;9.35;4.56;38.55;82.44;#N/A;22.68;17.74;#N/A;25.65
04/01/2021 22:00;5.98;8.77;3.88;37.55;74.42;#N/A;19.01;16.54;#N/A;22.19
04/01/2021 23:00;5.17;8.50;3.61;29.33;69.50;#N/A;17.69;14.26;#N/A;21.64
05/01/2021 00:00;4.58;8.07;3.25;27.20;62.75;#N/A;15.81;13.70;#N/A;20.76
05/01/2021 01:00;4.44;7.73;2.80;26.32;57.29;#N/A;13.24;11.67;#N/A;19.13
05/01/2021 02:00;10.44;7.74;2.63;27.94;55.29;#N/A;12.25;10.28;#N/A;18.99
05/01/2021 03:00;4.97;7.92;2.66;29.29;54.20;#N/A;12.26;10.51;#N/A;19.00
05/01/2021 04:00;4.22;7.83;2.64;30.64;54.05;#N/A;12.31;10.66;#N/A;19.98
05/01/2021 05:00;4.79;8.03;2.84;29.42;56.05;#N/A;12.83;10.93;#N/A;20.73
05/01/2021 06:00;5.67;8.54;3.34;33.42;64.62;#N/A;15.29;13.01;#N/A;21.85
05/01/2021 07:00;6.53;9.76;4.25;35.61;80.21;#N/A;21.15;18.11;#N/A;24.50
05/01/2021 08:00;9.29;10.30;4.89;38.00;92.57;#N/A;24.84;23.54;#N/A;27.97
05/01/2021 09:00;8.86;10.31;5.05;44.27;96.96;#N/A;27.52;23.67;#N/A;28.70
05/01/2021 10:00;#N/A;10.73;4.88;46.47;96.27;#N/A;28.13;25.45;#N/A;29.25
05/01/2021 11:00;8.18;10.75;4.98;47.50;93.23;#N/A;26.27;23.85;#N/A;30.02
05/01/2021 12:00;8.13;10.30;5.02;42.80;92.23;#N/A;25.23;24.40;#N/A;27.90
05/01/2021 13:00;8.27;9.73;4.73;44.41;91.29;#N/A;25.92;23.12;#N/A;26.00
05/01/2021 14:00;8.90;9.61;4.43;39.51;86.22;#N/A;25.34;21.44;#N/A;28.55
05/01/2021 15:00;8.72;9.72;4.41;35.17;81.82;#N/A;22.37;20.23;#N/A;25.67
05/01/2021 16:00;7.98;9.17;4.32;34.82;81.52;#N/A;21.86;20.53;#N/A;25.53
05/01/2021 17:00;7.17;9.63;4.51;40.79;80.82;#N/A;22.58;20.71;#N/A;24.50
05/01/2021 18:00;6.63;9.67;4.63;41.35;84.70;#N/A;22.56;20.58;#N/A;24.63
05/01/2021 19:00;7.36;10.09;4.66;42.26;88.70;#N/A;23.69;20.24;#N/A;25.27
05/01/2021 20:00;6.90;9.78;4.64;45.03;88.76;#N/A;26.41;20.08;#N/A;24.43
05/01/2021 21:00;5.85;9.21;4.25;37.09;81.82;#N/A;23.45;17.98;#N/A;25.65
05/01/2021 22:00;4.77;8.96;3.58;29.13;73.68;#N/A;19.09;15.86;#N/A;21.29
05/01/2021 23:00;3.91;8.38;3.72;29.35;70.32;#N/A;18.35;15.30;#N/A;20.94
06/01/2021 00:00;3.52;8.16;3.09;30.74;63.87;#N/A;15.55;12.91;#N/A;20.28
06/01/2021 01:00;2.76;7.80;2.83;29.05;57.43;#N/A;12.51;11.34;#N/A;18.71
06/01/2021 02:00;3.88;7.75;2.67;29.43;55.33;#N/A;11.11;10.51;#N/A;21.39
06/01/2021 03:00;4.78;7.74;2.60;29.51;54.31;#N/A;10.12;10.66;#N/A;19.79
06/01/2021 04:00;4.64;7.77;2.65;27.59;54.22;#N/A;#N/A;10.40;#N/A;18.41
06/01/2021 05:00;4.39;7.74;2.87;24.35;55.12;#N/A;10.28;10.71;#N/A;18.26
06/01/2021 06:00;4.89;7.93;2.93;25.45;58.29;#N/A;13.52;11.96;#N/A;20.84
06/01/2021 07:00;6.08;8.80;3.44;31.90;67.63;#N/A;16.30;13.70;#N/A;21.87
06/01/2021 08:00;8.55;9.83;4.61;40.32;85.12;#N/A;22.20;19.07;#N/A;23.61
06/01/2021 09:00;8.48;11.04;5.57;49.42;102.33;#N/A;28.76;24.43;#N/A;25.25
06/01/2021 10:00;7.95;11.39;6.05;49.61;106.99;#N/A;30.64;25.91;#N/A;24.94
06/01/2021 11:00;8.06;11.14;5.91;51.28;103.47;#N/A;31.29;24.46;#N/A;24.54
06/01/2021 12:00;6.73;10.56;5.55;47.16;99.71;#N/A;30.34;24.33;#N/A;25.20
06/01/2021 13:00;6.78;10.44;5.45;41.01;97.42;#N/A;27.88;22.51;#N/A;25.76
06/01/2021 14:00;6.14;9.90;4.93;40.63;91.11;#N/A;25.06;21.34;#N/A;23.14
06/01/2021 15:00;6.05;9.57;4.57;40.07;85.37;#N/A;22.37;19.87;#N/A;23.19
06/01/2021 16:00;5.91;9.20;4.47;39.41;82.77;#N/A;22.69;20.23;#N/A;22.52
06/01/2021 17:00;5.72;9.61;4.81;40.65;85.45;#N/A;24.59;20.50;#N/A;23.98
06/01/2021 18:00;6.23;9.75;4.82;#N/A;89.04;#N/A;26.43;21.98;#N/A;23.66
06/01/2021 19:00;6.77;10.29;4.78;40.77;89.76;#N/A;26.38;21.80;#N/A;24.52
06/01/2021 20:00;6.60;10.22;4.82;41.29;92.62;#N/A;26.48;21.33;#N/A;23.56
06/01/2021 21:00;5.50;9.50;4.44;36.92;82.56;#N/A;24.42;18.63;#N/A;22.70
06/01/2021 22:00;4.64;8.79;3.89;32.43;74.59;#N/A;20.05;17.79;#N/A;20.82
06/01/2021 23:00;4.13;8.86;3.56;31.80;69.66;#N/A;19.68;15.69;#N/A;22.35
07/01/2021 00:00;4.16;8.17;3.15;31.38;62.47;#N/A;15.57;13.21;#N/A;20.66
07/01/2021 01:00;4.01;7.82;2.76;29.62;56.74;#N/A;13.01;11.16;#N/A;19.85
07/01/2021 02:00;4.58;7.66;2.69;29.32;55.68;#N/A;12.07;11.00;#N/A;20.09
07/01/2021 03:00;4.12;7.86;2.66;28.66;54.21;#N/A;12.10;10.27;#N/A;20.43
07/01/2021 04:00;3.95;7.87;2.77;28.06;55.02;#N/A;11.65;10.74;#N/A;20.30
07/01/2021 05:00;3.12;8.25;3.07;29.07;57.05;#N/A;12.89;11.73;#N/A;21.04
07/01/2021 06:00;4.66;9.31;3.98;35.58;70.39;#N/A;18.03;15.41;#N/A;24.29
